# omega0=1, alpha=0.05
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=200, h=0.00911928
#   t          theta(t)                 thetadot(t)       
8.590363656551988e+01 -8.903317624158441e-02 2.499930638098116e-02
8.599482938565318e+01 -8.639284664462776e-02 3.286126003784079e-02
8.608602220578648e+01 -8.304909592801596e-02 4.041599159308400e-02
8.617721502591978e+01 -7.903274968207059e-02 4.760239731720387e-02
8.626840784605308e+01 -7.438006021717951e-02 5.436264401759598e-02
8.635960066618638e+01 -6.913238697085208e-02 6.064263265666381e-02
8.645079348631968e+01 -6.333583591819573e-02 6.639243322267714e-02
8.654198630645298e+01 -5.704086078030827e-02 7.156668705451262e-02
8.663317912658628e+01 -5.030182917207991e-02 7.612497282066287e-02
8.672437194671959e+01 -4.317655717445715e-02 8.003213243217874e-02
8.681556476685289e+01 -3.572581614826939e-02 8.325855334464138e-02
8.690675758698619e+01 -2.801281591796764e-02 8.578040398612743e-02
8.699795040711949e+01 -2.010266873415848e-02 8.757981943991806e-02
8.708914322725279e+01 -1.206183866372315e-02 8.864503500864848e-02
8.718033604738609e+01 -3.957581246359117e-03 8.897046587978755e-02
8.727152886751939e+01 4.142621611369905e-03 8.855673178334013e-02
8.736272168765269e+01 1.217162646502844e-02 8.741062625865292e-02
8.745391450778600e+01 2.006318784424909e-02 8.554503090149862e-02
8.754510732791930e+01 2.775250747585599e-02 8.297877571651402e-02
8.763630014805260e+01 3.517676838238239e-02 7.973644742482841e-02
8.772749296818590e+01 4.227564921989917e-02 7.584814824550934e-02
8.781868578831920e+01 4.899181447631671e-02 7.134920825915013e-02
8.790987860845250e+01 5.527137645803490e-02 6.627985495459816e-02
8.800107142858580e+01 6.106432533956310e-02 6.068484394380116e-02
8.809226424871910e+01 6.632492392732914e-02 5.461305510018857e-02
8.818345706885241e+01 7.101206418503062e-02 4.811705853494874e-02
8.827464988898571e+01 7.508958297372549e-02 4.125265488147074e-02
8.836584270911901e+01 7.852653486661679e-02 3.407839432506887e-02
8.845703552925231e+01 8.129742029883848e-02 2.665507871109875e-02
8.854822834938561e+01 8.338236770097414e-02 1.904525091059366e-02
8.863942116951891e+01 8.476726863797558e-02 1.131267544049496e-02
8.873061398965221e+01 8.544386533101606e-02 3.521814146642951e-03
8.882180680978551e+01 8.540979027887224e-02 -4.262699419091454e-03
8.891299962991882e+01 8.466855801952218e-02 -1.197658344544013e-02
8.900419245005212e+01 8.322950938480458e-02 -1.955642576109600e-02
8.909538527018542e+01 8.110770890498825e-02 -2.694019288316371e-02
8.918657809031872e+01 7.832379631995987e-02 -3.406772693501128e-02
8.927777091045202e+01 7.490379345320178e-02 -4.088122713993585e-02
8.936896373058532e+01 7.087886800680529e-02 -4.732571255586569e-02
8.946015655071862e+01 6.628505614229675e-02 -5.334946266239208e-02
8.955134937085192e+01 6.116294602343307e-02 -5.890443236214960e-02
8.964254219098522e+01 5.555732481206901e-02 -6.394663793276394e-02
8.973373501111853e+01 4.951679192371114e-02 -6.843651048202176e-02
8.982492783125183e+01 4.309334166079851e-02 -7.233921353475803e-02
8.991612065138513e+01 3.634191864299750e-02 -7.562492152938709e-02
9.000731347151843e+01 2.931994973766493e-02 -7.826905623501554e-02
9.009850629165173e+01 2.208685645223385e-02 -8.025247842156380e-02
9.018969911178503e+01 1.470355197553004e-02 -8.156163252455675e-02
9.028089193191833e+01 7.231927239186118e-03 -8.218864253674815e-02
9.037208475205163e+01 -2.656694935239384e-04 -8.213135791860607e-02
9.046327757218494e+01 -7.726954921552928e-03 -8.139334893228900e-02
9.055447039231824e+01 -1.509023026773113e-02 -7.998385144882586e-02
9.064566321245154e+01 -2.229489352769256e-02 -7.791766193323574e-02
9.073685603258484e+01 -2.928193991928310e-02 -7.521498395397429e-02
9.082804885271814e+01 -3.599444619641183e-02 -7.190122816885511e-02
9.091924167285144e+01 -4.237803469488600e-02 -6.800676828923492e-02
9.101043449298474e+01 -4.838131322826461e-02 -6.356665600111583e-02
9.110162731311804e+01 -5.395628724195024e-02 -5.862029821384471e-02
9.119282013325135e+01 -5.905874095552576e-02 -5.321110030745001e-02
9.128401295338465e+01 -6.364858456826784e-02 -4.738607925700428e-02
9.137520577351795e+01 -6.769016496249475e-02 -4.119545063071427e-02
9.146639859365125e+01 -7.115253770617705e-02 -3.469219349646602e-02
9.155759141378455e+01 -7.400969852328630e-02 -2.793159724194794e-02
9.164878423391785e+01 -7.624077276219889e-02 -2.097079423166717e-02
9.173997705405115e+01 -7.783016174511419e-02 -1.386828210709451e-02
9.183116987418445e+01 -7.876764522245498e-02 -6.683439400902501e-03
9.192236269431775e+01 -7.904843948467453e-02 5.239620012637217e-04
9.201355551445106e+01 -7.867321100023579e-02 7.694244144196696e-03
9.210474833458436e+01 -7.764804575429138e-02 1.476830672886474e-02
9.219594115471766e+01 -7.598437476008231e-02 2.168810405394390e-02
9.228713397485096e+01 -7.369885650697854e-02 2.839711199276032e-02
9.237832679498426e+01 -7.081321739808648e-02 3.484078184356845e-02
9.246951961511756e+01 -6.735405151871796e-02 4.096697788798639e-02
9.256071243525086e+01 -6.335258136627986e-02 4.672639547784066e-02
9.265190525538416e+01 -5.884438146278624e-02 5.207295645726505e-02
9.274309807551747e+01 -5.386906706246885e-02 5.696417872891631e-02
9.283429089565077e+01 -4.846995045678801e-02 6.136151680534906e-02
9.292548371578407e+01 -4.269366766412414e-02 6.523067026293804e-02
9.301667653591737e+01 -3.658977856696197e-02 6.854185714835499e-02
9.310786935605067e+01 -3.021034381989084e-02 7.127004958567759e-02
9.319906217618397e+01 -2.360948209098560e-02 7.339516910115698e-02
9.329025499631727e+01 -1.684291141055677e-02 7.490223952361111e-02
9.338144781645057e+01 -9.967478578421970e-03 7.578149572791418e-02
9.347264063658388e+01 -3.040680717827486e-03 7.602844695923078e-02
9.356383345671718e+01 3.879816844079328e-03 7.564389399459183e-02
9.365502627685048e+01 1.073666214653464e-02 7.463389995092586e-02
9.374621909698378e+01 1.747329340197306e-02 7.300971511722573e-02
9.383741191711708e+01 2.403440688548393e-02 7.078765675445839e-02
9.392860473725038e+01 3.036641186413492e-02 6.798894535147904e-02
9.401979755738368e+01 3.641786868253424e-02 6.463949933122368e-02
9.411099037751698e+01 4.213990632395087e-02 6.076969065383465e-02
9.420218319765029e+01 4.748661600760835e-02 5.641406415040993e-02
9.429337601778359e+01 5.241541765606939e-02 5.161102373499295e-02
9.438456883791689e+01 5.688739636507419e-02 4.640248887975706e-02
9.447576165805019e+01 6.086760632481047e-02 4.083352489993429e-02
9.456695447818349e+01 6.432533996966061e-02 3.495195068578051e-02
9.465814729831679e+01 6.723436046689084e-02 2.880792754712376e-02
9.474934011845009e+01 6.957309598830654e-02 2.245353281285395e-02
9.484053293858339e+01 7.132479453847551e-02 1.594232176585219e-02
9.493172575871669e+01 7.247763843580823e-02 9.328881406770476e-03
9.502291857885000e+01 7.302481785687708e-02 2.668379440826797e-03
9.511411139898330e+01 7.296456315929878e-02 -3.983888217917427e-03
9.520530421911660e+01 7.230013599470364e-02 -1.057294822098845e-02
9.529649703924990e+01 7.103977951192349e-02 -1.704459570982217e-02
9.538768985938320e+01 6.919662823315492e-02 -2.334583231714998e-02
9.547888267951650e+01 6.678857846424673e-02 -2.942529320973156e-02
9.557007549964980e+01 6.383812037601030e-02 -3.523366015842189e-02
9.566126831978310e+01 6.037213316768860e-02 -4.072405763433769e-02
9.575246113991641e+01 5.642164499686671e-02 -4.585242894264414e-02
9.584365396004971e+01 5.202155963169574e-02 -5.057788942878925e-02
9.593484678018301e+01 4.721035204985165e-02 -5.486305383722610e-02
9.602603960031631e+01 4.202973547165244e-02 -5.867433498096924e-02
9.611723242044961e+01 3.652430256871786e-02 -6.198221100180959e-02
9.620842524058291e+01 3.074114383015470e-02 -6.476145867375672e-02
9.629961806071621e+01 2.472944629054163e-02 -6.699135043167394e-02
9.639081088084951e+01 1.854007602268193e-02 -6.865581309525250e-02
9.648200370098282e+01 1.222514796786698e-02 -6.974354660401835e-02
9.657319652111612e+01 5.837586812217372e-03 -7.024810147696647e-02
9.666438934124942e+01 -5.693172848735724e-04 -7.016791415229426e-02
9.675558216138272e+01 -6.942354248593199e-03 -6.950629983727846e-02
9.684677498151602e+01 -1.322883705994605e-02 -6.827140299213140e-02
9.693796780164932e+01 -1.937703830149234e-02 -6.647610606984566e-02
9.702916062178262e+01 -2.533661651778936e-02 -6.413789762134797e-02
9.712035344191592e+01 -3.105902875320114e-02 -6.127870133705950e-02
9.721154626204923e+01 -3.649792579264324e-02 -5.792466801900635e-02
9.730273908218253e+01 -4.160952683011936e-02 -5.410593285103540e-02
9.739393190231583e+01 -4.635297052066946e-02 -4.985634065046607e-02
9.748512472244913e+01 -5.069063962808862e-02 -4.521314203794809e-02
9.757631754258243e+01 -5.458845675772485e-02 -4.021666365215557e-02
9.766751036271573e+01 -5.801614895509588e-02 -3.490995566433351e-02
9.775870318284903e+01 -6.094747925158585e-02 -2.933841991974586e-02
9.784989600298233e+01 -6.336044354328368e-02 -2.354942205634435e-02
9.794108882311563e+01 -6.523743149407570e-02 -1.759189093484827e-02
9.803228164324894e+01 -6.656535045627919e-02 -1.151590866923369e-02
9.812347446338224e+01 -6.733571169923080e-02 -5.372294482847066e-03
9.821466728351554e+01 -6.754467852708353e-02 7.878144572240711e-04
9.830586010364884e+01 -6.719307615121074e-02 6.913382147887972e-03
9.839705292378214e+01 -6.628636346033556e-02 1.295388978729706e-02
9.848824574391544e+01 -6.483456710354203e-02 1.885974578615662e-02
9.857943856404874e+01 -6.285217856866011e-02 2.458268684362557e-02
9.867063138418204e+01 -6.035801520212482e-02 3.007616721458405e-02
9.876182420431535e+01 -5.737504637701581e-02 3.529573332547147e-02
9.885301702444865e+01 -5.393018627385679e-02 4.019938092656559e-02
9.894420984458195e+01 -5.005405499353505e-02 4.474789200711792e-02
9.903540266471525e+01 -4.578070997228258e-02 4.890514875475075e-02
9.912659548484855e+01 -4.114734991314496e-02 5.263842192071474e-02
9.921778830498185e+01 -3.619399368406961e-02 5.591863106619995e-02
9.930898112511515e+01 -3.096313685630049e-02 5.872057431879971e-02
9.940017394524845e+01 -2.549938876424943e-02 6.102312546744322e-02
9.949136676538176e+01 -1.984909315515649e-02 6.280939647122416e-02
9.958255958551506e+01 -1.405993565926978e-02 6.406686375240803e-02
9.967375240564836e+01 -8.180541444731314e-03 6.478745698348980e-02
9.976494522578166e+01 -2.260066522014073e-03 6.496760945670921e-02
9.985613804591496e+01 3.652213772576516e-03 6.460826953364618e-02
9.994733086604826e+01 9.507315558486395e-03 6.371487310212665e-02
1.000385236861816e+02 1.525695291506237e-02 6.229727740600001e-02
1.001297165063149e+02 2.085393661897993e-02 6.036965704805496e-02
1.002209093264482e+02 2.625256171790353e-02 5.795036338517540e-02
1.003121021465815e+02 3.140898067260801e-02 5.506174892639702e-02
1.004032949667148e+02 3.628155896314558e-02 5.172995869894383e-02
1.004944877868481e+02 4.083121024832112e-02 4.798469085682378e-02
1.005856806069814e+02 4.502170838738254e-02 4.385892906586990e-02
1.006768734271147e+02 4.881997387372667e-02 3.938864940566081e-02
1.007680662472480e+02 5.219633248774203e-02 3.461250468271078e-02
